x_0,x_1,x_2,x_3,y_0,y_1,y_2,y_3,u_0,u_1,u_2,d_0,d_1,d_2,d_3,J
0.0035,0.001,15.0,0.008,3.5,0.5372602140856555,15.0,62.6439500530795,0.0,0.0,0.0,0.0,0.0008351227862468228,7.5,0.005918200756655609,50.8175626954217
0.003499600805399052,0.0009974852245919312,13.745773614100312,0.008275353941707767,3.499600805399052,0.533576481322609,13.745773614100312,69.95077869760556,4.829920483030408e-08,0.7500000099521361,-9.196928613953367e-09,0.0,0.0008459118651516019,7.496638666618146,0.005829618282750327,50.140932019202126
0.0034992341852275676,0.0009725280620157847,12.551863394180652,0.008058987399018844,3.4992341852275675,0.518061443650297,12.551863394180652,73.32031879546815,4.829968590167488e-08,1.5000000198556727,-8.920130420178884e-09,0.0,0.0008477680663484614,7.3,0.005740258222547648,49.66830320112638
0.003498895956086291,0.0009361937270016596,11.426960751103934,0.007524096783047316,3.498895956086291,0.4967427308533937,11.426960751103934,73.41392712835275,4.8299781262579554e-08,2.2500000295946174,-8.325002637149165e-09,0.0,0.0008512489534285066,7.300000000338094,0.005709781319722682,49.38045655322209
0.0034985815229610006,0.0009023718047978228,10.450248208692088,0.006932220701549393,3.4985815229610004,0.47715357331506664,10.450248208692088,71.91250873323025,4.829920525486252e-08,3.0000000390560824,-7.441267930961965e-09,0.0,0.0008404652213397129,7.293277320296783,0.0058885557207730916,49.24953813004182
0.003498286041906424,0.0008721460039445534,9.634184653152985,0.006545712385233728,3.498286041906424,0.4598438356826091,9.634184653152985,71.49675276910024,4.82992053138018e-08,3.237406613087227,14.999999939122135,0.0,0.0008662674286848856,7.191596630697618,0.005958643397996054,49.30432419362242
0.0034980011719165185,0.0008692077857344915,9.373443617396207,0.006366237615459304,3.4980011719165187,0.4578720733956896,9.373443617396207,70.69692472896313,0.07510718077425038,2.487406603098684,30.00000008908398,0.0,0.0008522595612436339,6.910084031342125,0.005888737033746696,49.167034766126356
0.003497716854675119,0.0008746185386294231,9.558471015139641,0.0063040759286666125,3.497716854675119,0.46102402409813964,9.558471015139641,69.18891979236894,4.8299134993985406e-08,1.970890744252918,45.00000020606153,0.0,0.0008713937804746315,6.911764697660126,0.005876233736637008,49.174377953201045
0.0034974246868096546,0.0008735579245956242,10.143154906356932,0.006323574725400453,3.4974246868096546,0.4614172703735347,10.143154906356932,66.88138532491269,1.813896288759075e-05,1.2209044267644067,36.79075566297378,0.0,0.0008632290159628355,6.8,0.005830961262225088,49.21156446670302
0.0034971236265467403,0.0008711217627121949,10.44145296772681,0.006408055539545665,3.4971236265467405,0.4606149803339056,10.44145296772681,66.51183175182902,4.829629981388966e-08,1.9709042068879967,23.475744274124224,0.0,0.0008669576091662,6.79999999898572,0.005810948947339516,49.228596891708236
0.0034968219023083485,0.0008697246224083762,10.230173018846415,0.0063814317089960024,3.4968219023083487,0.4595336126160917,10.230173018846415,67.1236150192728,4.829706523631613e-08,2.7209041618445817,18.05511532534484,0.0,0.0008645735516923783,6.7831932701904645,0.00585318714224994,49.20921411927677
0.0034965265480332223,0.0008674639963915132,9.837425220288758,0.006304340855657447,3.496526548033222,0.4577039424876653,9.837425220288758,67.97932071090031,4.8299205051000804e-08,3.4709040187317703,27.505442144390802,0.0,0.0008808817093071784,6.6,0.005788334915909589,49.177449486403695
0.0034962368639639965,0.000874782484536701,9.664225817846285,0.006177446784463094,3.4962368639639965,0.4612829332648714,9.664225817846285,67.34590893272413,4.829913372419772e-08,2.720904093662213,37.34975267894134,0.0,0.0008753099408552628,6.679831930715497,0.005783217121375794,49.16119298906809
0.0034959464692538716,0.0008751212993285773,9.89017145327546,0.006167846222502765,3.4959464692538718,0.461830264625582,9.89017145327546,66.28585722546954,4.8299100236018524e-08,1.9709041362920234,38.49910434328628,0.0,0.0008883410062494672,6.599999992139324,0.005812963974715683,46.67224467317683
0.003495651098843643,0.0008800089963586397,10.156112429679547,0.006233442194745765,3.495651098843643,0.464846016413432,10.156112429679547,65.87418163117705,5.186628072308593e-08,1.2209042650143627,29.35063500811043,0.0,0.0008807033414944441,6.57647058354961,0.005768257746808326,20.578756077921792
0.003495352602614106,0.0008802973553383517,10.206408772100106,0.006327027302675611,3.4953526026141057,0.46508088871462455,10.206408772100106,66.65123321573196,0.12000004754117875,1.9709019611871639,25.0292178273497,0.0,0.0008938875487514266,6.374789918682655,0.005711459621096432,-43.887975024190474
0.0034950559298317107,0.0009065319065756154,9.992750079016888,0.00628996978511463,3.4950559298317105,0.4785800569741413,9.992750079016888,67.16116471115333,0.24000001594423753,2.720897321141644,28.9015221267893,0.0,0.000897796643523794,6.14621850202456,0.0056680634656404395,-163.63158625847348
0.003494763616419381,0.0009419448813044697,9.78260646243082,0.006174917822548352,3.494763616419381,0.4969063512599254,9.78260646243082,66.81527360912564,0.36000002509817086,3.4708970050304417,40.96858025171275,0.0,0.0008842987009366289,6.128571433014102,0.005706235778057563,-311.22922402252925
0.0034944727161858227,0.0009656749409678572,9.842192242767526,0.006087100566149023,3.4944727161858227,0.5095320094115575,9.842192242767526,65.61702828173193,0.4800000345057567,2.7208972180392137,43.45679250345812,0.0,0.0009193993528117612,6.2,0.0057402927627241765,-484.18639535261934
0.0034941789253602378,0.0010232106562114004,10.062551755030247,0.006114592188183888,3.494178925360238,0.5403107500396693,10.062551755030247,65.001171342107,0.6000000439476627,2.3589662387990837,39.31573627045962,0.0,0.0009118721353159537,6.268067221905713,0.005752779689723718,-743.243210954718
