time,y_0,y_1,y_2,y_3,u_0,u_1,u_2,d_0,d_1,d_2,d_3
0.0,3.5,537.2602140856554,15.0,62.6439500530795,0.0,0.0,0.0,0.0,450.50000000000006,5.8,78.4
0.010416666666666666,3.499605390977689,532.0483351527166,13.41846505192227,70.86670476682063,4.413425208098452e-05,0.14545720875062754,0.00017122913358510357,0.0,450.50000000000006,5.8,78.4
0.020833333333333332,3.4992509874301367,515.6322121034266,11.90878425337809,74.65060458508938,5.902476918147098e-05,0.8953886964405424,0.0002563628589282262,0.0,443.20000134781,5.70000001005828,76.59999999999998
0.03125,3.4989301239062764,500.005595020948,10.556018553022566,74.99989284033195,0.04992099350517766,1.6453087553339167,1.8137633010326655,0.0,445.60000147856704,5.5,78.4999999497086
0.041666666666666664,3.498629553742708,500.0038594335743,10.000003737963407,74.99994130138256,0.07929473475528198,1.0183723368757516,16.812576398159713,0.0,455.4,5.5,77.80000000000001
0.052083333333333336,3.4983345528611625,500.0211135101616,10.000014109355735,74.99985143951797,0.03157624671609723,0.37481506091969896,28.967855870968773,0.0,448.70000006035,5.6,77.8999998893589
0.0625,3.498039576777341,500.0226653607115,10.000011638295154,74.99972882715204,0.01918991730501351,0.33531749542435973,29.396519462115048,0.0,462.0999992053959,5.50000001005828,75.8999999698252
0.07291666666666667,3.4977446255906934,500.0225683935404,10.000011576651113,74.99972803133998,0.030986210278073873,0.3324654386786991,29.380035593967477,0.0,443.8,5.5,75.70000000000002
0.08333333333333333,3.497449699258484,500.0223804428032,10.000013107728078,74.99981828815558,0.030738993294164272,0.3352059621031748,30.049244002567196,0.0,444.400000985712,5.4,76.39999996982512
0.09375,3.497154797791078,500.0223537611744,10.000011966225989,74.99975331844011,0.02046446132096066,0.3351720584406927,28.742480328137784,0.0,460.299997726828,5.6,75.4
0.10416666666666667,3.496859921198419,500.02167443816285,10.000012187488872,74.99976939103139,0.026317858916439292,0.3452080872685043,27.490423862810797,0.0,452.9000000000001,5.8,75.10000000000001
0.11458333333333333,3.496565069461803,500.0219030744196,10.00001270580196,74.99979405713835,0.024238153396384444,0.3496765046530976,26.859537838899655,0.0,456.59999907463805,5.90000001005828,74.8999999195337
0.125,3.4962702425959384,500.02184027370254,10.00001135329863,74.99967722069559,0.02398577571672238,0.3387758474379956,26.148116716605692,0.0,455.9999989539389,6.00000001005828,73.7000000301748
0.13541666666666666,3.4959754406013626,500.0213873385812,10.000011503446697,74.99970946786728,0.025796117249660074,0.3526272769278808,26.219636681717997,0.0,454.7999999999999,6.0,74.6
0.14583333333333334,3.4956806634537503,500.02116905758885,10.000012352759626,74.99978097947209,0.03612889053242238,0.3542007734231512,26.22778260412994,0.0,440.100001538918,6.0,74.6999999396503
0.15625,3.4953859111549748,500.0207766967647,10.000012171329388,74.99976762658875,0.03185524146554784,0.35726727710164835,25.587485987659345,0.0,446.799999577552,6.10000001005828,74.40000002011658
0.16666666666666666,3.495091183738638,500.0184782453445,10.000009571514981,74.99846487526902,0.033129164479698846,0.369177787431098,24.332070131095545,0.0,446.79999999999995,6.3,74.09999999999998
0.17708333333333334,3.494796481196132,500.0158355812731,10.00000985272023,74.99950434011679,0.03777189613763845,0.45153071829324565,24.725230424274244,0.0,449.89999926574495,6.3,77.89999976865948
0.1875,3.4945018034976134,500.01427433374835,10.000010066390002,74.99968481085962,0.05144710805324837,0.5079829920794915,25.670207121569653,0.0,440.700000804663,6.19999998994172,80.30000014081588
0.19791666666666666,3.494207150630605,500.013116026246,10.000011326551741,74.99982840680921,0.057949255742246554,0.5564171872169037,27.27122776393403,0.0,438.8999999999999,6.0,82.69999999999999
0.20833333333333334,3.4939125225828858,500.0126610966058,10.000012568317782,74.9998716123485,0.04744149715271149,0.6011415530865087,28.18956135738718,0.0,451.70000067390504,5.9,84.3000000301749
0.21875,3.4936179193736834,500.0117760731196,10.000011809084164,74.99986160262746,0.05556402266328292,0.5986996358513486,28.863812856109806,0.0,444.4000012874599,5.80000002011656,84.79999999999998
0.22916666666666666,3.493323340987557,500.01099935382933,10.00001418061645,74.9999024034947,0.040141285644180416,0.6936848282224974,27.979583951655723,0.0,462.69999999999993,6.0,85.5
0.23958333333333334,3.493028787464859,500.0100527126138,10.000009614889573,74.99979143047044,0.04713613159025251,0.6876824961529148,27.94837206332117,0.0,457.19999956749393,6.0,85.39999998994169
0.25,3.492734258806251,500.0083148697731,10.000011255202269,74.99989010229912,0.08645440704153616,0.8354754550904967,27.275630469347888,0.0,439.500001961365,6.2,86.30000000000001
0.2604166666666667,3.492439754923766,500.00721061761607,10.000015232678093,74.99993219679328,0.0839710859703474,1.0038956014193463,27.361824770724983,0.0,449.9,6.3,87.3
0.2708333333333333,3.4921452758239746,500.0063106814835,10.00001622313608,74.99994030099712,0.09359170274689625,1.1147929869276463,27.137250345410916,0.0,449.8999994467941,6.4,87.5
0.28125,3.4918508214603534,500.00554917976086,10.0000241738889,74.99995475738145,0.10007134647586606,1.311887202703399,26.4943608172019,0.0,454.1999987024819,6.60000001005828,87.40000008046631
0.2916666666666667,3.491556391759045,500.00485611227793,10.000032452247828,74.99996107298729,0.1552902193676606,1.444198261701765,25.48215313811512,0.0,438.29999999999995,6.8,86.79999999999998
0.3020833333333333,3.4912619849766116,500.0048127486475,10.000204293326977,74.99996867763943,0.15533812282422374,1.7143484874925707,24.94127018663521,0.0,447.399998461082,7.0,86.5
0.3125,3.490967433067747,500.0070755969638,10.016064251290151,74.99996797726824,0.1523577290006175,1.4113410384173541,24.357468855397276,0.0,438.300000734255,7.0,85.90000006034971
