time,x_0,x_1,x_2,x_3,y_0,y_1,y_2,y_3,u_0,u_1,u_2,d_0,d_1,d_2,d_3,J
0.0,0.0035,0.001,15.0,0.008,3.5,537.2602140856554,15.0,62.6439500530795,0.0,0.0,0.0,0.0,450.50000000000006,5.8,78.4,0.01605801986093497
0.010416666666666666,0.003499604774845564,0.0009999568516252805,13.461467085956867,0.008294021663735942,3.499604774845564,534.3685371028694,13.461467085956867,71.34247605345531,8.711899635465805e-08,8.113404752796866e-08,1.1565333463694973e-06,0.0,443.20000134781,5.70000001005828,76.6,0.01677940307175146
0.020833333333333332,0.0034992465503115174,0.0009998746345862225,12.163502688941223,0.008442005380824381,3.4992465503115175,531.9048293374914,12.163502688941223,78.6766972013233,4.828907428891065e-08,4.427556566950959e-08,8.326311937384097e-07,0.0,445.60000147856704,5.5,78.4999999497086,0.017481899691730064
0.03125,0.0034989170548516612,0.0009997882846718422,11.049152896851863,0.008485312732530077,3.498917054851661,529.7816107868676,11.049152896851863,84.77324788560601,4.5749691751512076e-08,4.4565788617026436e-07,8.31375932351555e-06,0.0,455.4,5.5,77.80000000000001,0.018145789361410914
0.041666666666666664,0.0034986100664306324,0.000999723014625696,10.121158004109605,0.008454562592154907,3.4986100664306323,528.0172427555078,10.121158004109605,89.54410793468656,-6.846660457369779e-09,4.1703531806072463e-07,4.452119600964498,0.0,448.70000006035,5.6,77.8999998893589,0.01906603455280111
0.052083333333333336,0.003498319216420328,0.0009996288895230535,9.487131483194117,0.008378142596159134,3.498319216420328,526.7858155818373,9.487131483194117,92.36964751375662,9.100694821803884e-09,1.1132628007263313e-06,19.45211158591058,0.0,462.0999992053959,5.50000001005828,75.8999999698252,0.019828079574303825
0.0625,0.0034980358963375077,0.000999574473236695,9.35363672098515,0.008288071003428127,3.4980358963375076,526.5083420398546,9.35363672098515,92.15477195725292,4.829577281438751e-08,5.8831552421832155e-09,34.45211161966118,0.0,443.8,5.5,75.70000000000002,0.018948710446988672
0.07291666666666667,0.003497750824532594,0.0009994630254991446,9.653692518221005,0.008215237723663164,3.497750824532594,527.0087972420637,9.653692518221005,89.62153027271417,3.9655856954588954e-07,3.7180466645996956e-07,47.08413617159083,0.0,444.400000985712,5.4,76.39999996982512,0.01832264512927774
0.08333333333333333,0.003497456852568707,0.0009993582171783418,10.233153843880178,0.008179655017765979,3.497456852568707,528.0332540373269,10.233153843880178,86.02219450946045,6.917274743484087e-07,6.466872566787015e-07,38.57956737083948,0.0,460.299997726828,5.6,75.4,0.017466840709719104
0.09375,0.0034971540987473364,0.0009993068887666106,10.51600387941378,0.008175659180856215,3.4971540987473366,528.5331463385698,10.51600387941378,84.46109963524795,4.894807962918517e-08,5.346558507045068e-08,23.579569085120497,0.0,452.9000000000001,5.8,75.10000000000001,0.016898350572313436
0.10416666666666667,0.0034968500324711526,0.0009992316565083463,10.373773066467656,0.008176068544550361,3.4968500324711527,528.2283681842875,10.373773066467656,85.22540019718159,1.0109340944255658e-05,2.41105357073736e-05,9.9810000950866,0.0,456.59999907463805,5.90000001005828,74.8999999195337,0.016782076324481567
0.11458333333333333,0.0034965525146051233,0.0009991663645498568,9.899241844677002,0.008156031261837674,3.4965525146051233,527.3098192381071,9.899241844677002,87.60259571440234,4.823123543297288e-08,4.826532707968392e-08,13.656156166383322,0.0,455.9999989539389,6.00000001005828,73.7000000301748,0.01702880055149508
0.125,0.0034962626254882124,0.0009990937853021947,9.621548736647776,0.008114990288225512,3.4962626254882125,526.7542215871501,9.621548736647776,88.70853333295257,4.8295150483079465e-08,5.1234325136951114e-08,27.46066267947689,0.0,454.7999999999999,6.0,74.6,0.017103575859299745
0.13541666666666666,0.003495973941996521,0.0009990169933054888,9.76874606768191,0.008075864402145775,3.495973941996521,526.9879163431472,9.76874606768191,87.46108009401196,4.829575255916807e-08,5.332795147034327e-08,35.89595404191221,0.0,440.100001538918,6.0,74.6999999396503,0.01671357176403715
0.14583333333333334,0.003495680156151819,0.0009988961529785207,10.122581298436268,0.008057803814684813,3.495680156151819,527.5831754092331,10.122581298436268,85.33427884211484,-8.453674789813634e-09,5.494809178718346e-08,31.42464266972385,0.0,446.799999577552,6.10000001005828,74.40000002011658,0.016129426407076562
0.15625,0.003495380875893318,0.00099879862941273,10.311385948634879,0.008059054370963293,3.4953808758933183,527.8832730859084,10.311385948634879,84.33669801526085,3.2695303441033217e-06,3.0436058941684058e-06,20.066564636421116,0.0,446.79999999999995,6.3,74.09999999999998,0.015731953617877763
0.16666666666666666,0.003495081013504486,0.0009987011426904919,10.1906800596742,0.008061878240809903,3.495081013504486,527.606983863944,10.1906800596742,85.01113958137721,4.833503278260386e-08,5.291450591402743e-08,13.111246617997772,0.0,449.89999926574495,6.3,77.89999976865948,0.01564252030883115
0.17708333333333334,0.0034947854756747204,0.0009986110526245327,9.899480026916681,0.008051333714711804,3.4947854756747203,527.0171969748669,9.899480026916681,86.47675330157928,-8.48634176309993e-09,1.6449078673099886e-07,16.77784854421265,0.0,440.700000804663,6.19999998994172,80.30000014081588,0.015567426062197536
0.1875,0.003494494497444026,0.000998490504958248,9.740774806696965,0.008028341185916917,3.494494497444026,526.6581162072897,9.740774806696965,87.10060273193243,1.0910429106719167e-08,1.4007198567336093e-06,26.233466784111876,0.0,438.8999999999999,6.0,82.69999999999999,0.015431001004906755
